course_id,club_id,course_name,holes,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AL-00070-03,USA-AL-00070,Lakes 9,9,35,Parkland,Bruce Devlin,1984,Open,65,65,65,N/D,N/D,USD
USA-AL-00071-01,USA-AL-00071,Cumberland Lake,18,72,Parkland,Bill Amick,1968,Open,32.07,36.79,31.13,N/D,Bermuda,USD
USA-AL-00072-01,USA-AL-00072,Gulf Shores,18,71,Parkland,Jay & Carter Morrish,2007,Open,49,49,35,N/D,N/D,USD
USA-AL-00073-01,USA-AL-00073,The Lake,18,72,Parkland,George Cobb,1971,Open,26,33,26,N/D,Bermuda,USD
USA-AL-00073-02,USA-AL-00073,The Plantation,18,72,Parkland,George Cobb,1971,Open,21,25,21,N/D,Bermuda,USD
USA-AL-00074-01,USA-AL-00074,Grayson Valley,18,72,Parkland,John Lafoye,1976,Closed,~,~,~,Bermuda,Bermuda,USD
USA-AL-00075-01,USA-AL-00075,Green Briar,18,54,Parkland,Tom Willis,1990,Open,22.5,22.5,22.5,N/D,N/D,USD
USA-AL-00077-01,USA-AL-00077,Founders,18,72,Parkland,Bob Cupp,1991,Closed,~,~,~,N/D,N/D,USD
USA-AL-00077-02,USA-AL-00077,Legacy,18,72,Parkland,Rees Jones,2000,Closed,~,~,~,N/D,N/D,USD
USA-AL-00078-01,USA-AL-00078,Foley,18,64,Parkland,A. J. Stewart,1996,Open,20,20,20,N/D,N/D,USD
USA-AL-00080-01,USA-AL-00080,Gulf State Park,18,72,Parkland,Earl Stone,1974,Open,27.5,27.5,27.5,N/D,N/D,USD
USA-AL-00081-01,USA-AL-00081,Gunters Landing,18,72,Parkland,Jimmy Kennamer,1992,Open,39,49,39,N/D,N/D,USD
USA-AL-00084-01,USA-AL-00084,Headland,9,36,Parkland,N/D,1961,Open,14,18,14,N/D,N/D,USD
USA-AL-00086-01,USA-AL-00086,Heritage,18,71,Parkland,Robert White,1986,Open,32,38,28,Bermuda,Bermuda,USD
USA-AL-00087-01,USA-AL-00087,Heron Lakes,18,72,Parkland,Chic Adams,1958,Closed,~,~,~,N/D,Bermuda,USD
USA-AL-00088-01,USA-AL-00088,Hidden Meadows,18,72,Parkland,Mike Young,1996,Open,32,40,27,N/D,Bermuda,USD
USA-AL-00090-01,USA-AL-00090,High Pointe,9,35,Parkland,N/D,1974,Open,15,15,15,N/D,N/D,USD
USA-AL-00091-01,USA-AL-00091,Highland Park,18,70,Parkland,Bob Cupp,1927,Open,45,52,42,N/D,Bent,USD
USA-AL-00092-01,USA-AL-00092,Holly Hills,9,36,Parkland,Earl Stone,1966,Open,9,9,9,N/D,N/D,USD
USA-AL-00093-01,USA-AL-00093,Hoover,18,72,Parkland,George Cobb,1962,Closed,~,~,~,N/D,N/D,USD
USA-AL-00094-01,USA-AL-00094,Horse Creek,18,72,Parkland,Robert Kirk,2000,Open,24,30,24,Bermuda,Bermuda,USD
USA-AL-00095-01,USA-AL-00095,Huntsville,18,71,Parkland,Robert B. Harris/R- John LaFoy,1925,Closed,~,~,~,Bermuda,Bent,USD
USA-AL-00096-01,USA-AL-00096,Indian Hills,18,71,Parkland,John LaFoy,1997,Closed,~,~,~,N/D,N/D,USD
